Historical Mutual Fund NAV of SBI-ETF Gold,
scheme:- SBI-ETF Gold,
Start Date:- 28-04-2009,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
11-06-2020,4273.0552
10-06-2020,4226.5087
09-06-2020,4205.9156
08-06-2020,4179.2794
05-06-2020,4209.3018
04-06-2020,4206.6922
03-06-2020,4220.7923
02-06-2020,4282.4741
01-06-2020,4265.4935
29-05-2020,4253.7623
28-05-2020,4257.8481
27-05-2020,4213.7594
26-05-2020,4251.4316
22-05-2020,4279.8936
21-05-2020,4280.938
20-05-2020,4312.9966
19-05-2020,4280.7309
18-05-2020,4341.1256
15-05-2020,4275.1118
14-05-2020,4221.6082
13-05-2020,4183.3314
12-05-2020,4210.9481
11-05-2020,4195.5725
08-05-2020,4162.0571
07-05-2020,4173.8631
06-05-2020,4202.4146
05-05-2020,4191.0521
04-05-2020,4217.7182
30-04-2020,4212.9856
29-04-2020,4229.1023
28-04-2020,4266.7633
27-04-2020,4274.8214
24-04-2020,4311.2086
23-04-2020,4294.549
22-04-2020,4276.838
21-04-2020,4216.521
20-04-2020,4229.6525
17-04-2020,4243.5001
16-04-2020,4299.0485
15-04-2020,4263.8263
13-04-2020,4125.0105
09-04-2020,4129.8254
08-04-2020,4082.8172
07-04-2020,4078.2036
03-04-2020,3985.3963
01-04-2020,3927.9639
31-03-2020,3950.4887
30-03-2020,3987.9222
27-03-2020,3957.6795
26-03-2020,3973.8122
25-03-2020,4018.2537
24-03-2020,3933.9182
23-03-2020,3693.1563
20-03-2020,3677.0815
19-03-2020,3646.6389
18-03-2020,3662.7566
17-03-2020,3585.2652
16-03-2020,3664.2958
13-03-2020,3832.9818
12-03-2020,3963.9151
11-03-2020,4001.9427
09-03-2020,4038.6925
06-03-2020,4046.8537
05-03-2020,3935.5053
04-03-2020,3943.1726
03-03-2020,3815.1022
02-03-2020,3808.1915
28-02-2020,3840.3991
27-02-2020,3860.0717
26-02-2020,3868.736
25-02-2020,3891.4054
24-02-2020,3919.6532
20-02-2020,3756.1419
19-02-2020,3745.7227
18-02-2020,3702.0905
17-02-2020,3687.0597
14-02-2020,3677.3181
13-02-2020,3679.2302
12-02-2020,3652.7671
11-02-2020,3653.4563
10-02-2020,3669.9276
07-02-2020,3655.7232
06-02-2020,3645.9537
05-02-2020,3620.777
04-02-2020,3653.7878
03-02-2020,3689.7685
31-01-2020,3690.8125
30-01-2020,3679.3433
29-01-2020,3647.3647
28-01-2020,3670.9249
27-01-2020,3682.0218
24-01-2020,3630.8861
23-01-2020,3615.1103
22-01-2020,3621.742
21-01-2020,3616.982
20-01-2020,3617.5265
17-01-2020,3611.4545
16-01-2020,3605.5727
15-01-2020,3597.4963
14-01-2020,3577.2194
13-01-2020,3583.2418
10-01-2020,3593.7354
09-01-2020,3605.6387
08-01-2020,3704.8121
07-01-2020,3660.0816
06-01-2020,3695.8661
03-01-2020,3617.2109
02-01-2020,3545.0255
01-01-2020,3551.3684
31-12-2019,3547.1221
30-12-2019,3514.1992
27-12-2019,3507.1114
26-12-2019,3468.7836
24-12-2019,3465.6944
23-12-2019,3450.4988
20-12-2019,3435.6474
19-12-2019,3430.0902
18-12-2019,3438.4796
17-12-2019,3433.5594
16-12-2019,3430.3825
13-12-2019,3407.1618
12-12-2019,3413.5438
11-12-2019,3405.076
10-12-2019,3398.9782
09-12-2019,3408.5379
06-12-2019,3438.3072
05-12-2019,3449.5837
04-12-2019,3462.1505
03-12-2019,3443.307
02-12-2019,3421.8397
29-11-2019,3419.7641
28-11-2019,3416.7808
27-11-2019,3415.0475
26-11-2019,3420.2922
25-11-2019,3426.4259
22-11-2019,3459.7422
21-11-2019,3448.5132
20-11-2019,3457.3389
19-11-2019,3440.9322
18-11-2019,3423.2785
15-11-2019,3438.2072
14-11-2019,3463.577
13-11-2019,3440.0991
11-11-2019,3433.6097
08-11-2019,3428.2398
07-11-2019,3455.0355
06-11-2019,3458.9492
05-11-2019,3484.9391
04-11-2019,3492.3527
01-11-2019,3502.4614
31-10-2019,3492.3918
30-10-2019,3467.1026
29-10-2019,3461.1887
25-10-2019,3495.6284
24-10-2019,3462.2479
23-10-2019,3473.4922
22-10-2019,3456.8667
18-10-2019,3471.1967
17-10-2019,3473.1639
16-10-2019,3473.435
15-10-2019,3490.5748
14-10-2019,3475.6884
11-10-2019,3484.6967
10-10-2019,3505.9879
09-10-2019,3498.8321
07-10-2019,3490.4595
04-10-2019,3501.0216
03-10-2019,3500.8134
01-10-2019,3414.4456
30-09-2019,3448.7446
27-09-2019,3480.4976
26-09-2019,3505.6116
25-09-2019,3560.4276
24-09-2019,3530.313
23-09-2019,3532.1923
20-09-2019,3501.5094
19-09-2019,3502.0192
18-09-2019,3517.4785
17-09-2019,3533.543
16-09-2019,3526.9646
13-09-2019,3509.8213
12-09-2019,3526.3927
11-09-2019,3522.2745
09-09-2019,3552.8044
06-09-2019,3548.8817
05-09-2019,3627.1632
04-09-2019,3628.6407
03-09-2019,3620.9062
30-08-2019,3589.7795
29-08-2019,3609.6842
28-08-2019,3607.248
27-08-2019,3592.0249
26-08-2019,3532.3203
23-08-2019,3512.8212
22-08-2019,3518.5477
21-08-2019,3513.9341
20-08-2019,3524.4268
19-08-2019,3504.3325
16-08-2019,3522.1422
14-08-2019,3488.1882
13-08-2019,3549.5647
09-08-2019,3469.6966
08-08-2019,3471.6936
07-08-2019,3435.189
06-08-2019,3372.5967
05-08-2019,3348.2819
02-08-2019,3264.9983
01-08-2019,3189.9204
31-07-2019,3229.769
30-07-2019,3216.3593
29-07-2019,3203.8096
26-07-2019,3209.0707
25-07-2019,3222.3404
24-07-2019,3221.7441
23-07-2019,3204.9676
22-07-2019,3219.9059
19-07-2019,3237.0328
18-07-2019,3207.5915
17-07-2019,3164.7725
16-07-2019,3185.4566
15-07-2019,3186.4699
12-07-2019,3163.9539
11-07-2019,3189.6352
10-07-2019,3141.5556
09-07-2019,3134.826
08-07-2019,3167.3398
05-07-2019,3115.2657
04-07-2019,3124.0191
03-07-2019,3144.6194
02-07-2019,3085.5951
01-07-2019,3078.51
28-06-2019,3122.7968
27-06-2019,3114.0322
26-06-2019,3127.063
25-06-2019,3173.651
24-06-2019,3116.6359
21-06-2019,3088.6777
20-06-2019,3072.0318
19-06-2019,2997.1475
18-06-2019,3006.7214
17-06-2019,2985.2184
14-06-2019,3001.76
13-06-2019,2960.3122
12-06-2019,2963.8748
11-06-2019,2936.496
10-06-2019,2949.9249
07-06-2019,2955.3765
06-06-2019,2964.1076
04-06-2019,2936.9264
03-06-2019,2923.0478
31-05-2019,2905.0984
30-05-2019,2864.9129
29-05-2019,2882.7288
28-05-2019,2873.6483
27-05-2019,2862.1017
24-05-2019,2868.8002
23-05-2019,2860.0225
22-05-2019,2859.5466
21-05-2019,2862.2714
20-05-2019,2854.0392
17-05-2019,2898.5233
16-05-2019,2918.6854
15-05-2019,2924.0889
14-05-2019,2925.5047
13-05-2019,2889.6508
10-05-2019,2882.192
09-05-2019,2877.6398
08-05-2019,2875.0484
07-05-2019,2851.279
06-05-2019,2830.493
03-05-2019,2827.3658
02-05-2019,2840.1203
30-04-2019,2881.9942
26-04-2019,2886.221
25-04-2019,2871.3463
24-04-2019,2861.8204
23-04-2019,2855.3465
22-04-2019,2861.3424
18-04-2019,2845.8285
16-04-2019,2866.3361
15-04-2019,2859.424
12-04-2019,2881.9033
11-04-2019,2885.728
10-04-2019,2892.6518
09-04-2019,2901.583
08-04-2019,2891.1158
05-04-2019,2862.8745
04-04-2019,2857.2567
03-04-2019,2844.4847
02-04-2019,2858.8562
01-04-2019,2870.2121
31-03-2019,2868.7504
29-03-2019,2868.9183
28-03-2019,2894.1342
27-03-2019,2912.9966
26-03-2019,2904.967
25-03-2019,2918.7
22-03-2019,2889.9653
20-03-2019,2885.4913
19-03-2019,2885.7562
18-03-2019,2880.8066
15-03-2019,2904.4994
14-03-2019,2914.7483
13-03-2019,2931.7204
12-03-2019,2907.7266
11-03-2019,2919.2392
08-03-2019,2921.3396
07-03-2019,2907.0154
06-03-2019,2926.015
05-03-2019,2931.7033
01-03-2019,2991.0537
28-02-2019,3031.6239
27-02-2019,3029.9728
26-02-2019,3029.5849
25-02-2019,3030.9098
22-02-2019,3023.746
