Historical Mutual Fund NAV of KOTAK GOLD ETF,
scheme:- KOTAK GOLD ETF,
Start Date:- 27-07-2007,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
12-09-2019,343.9259
11-09-2019,343.5419
09-09-2019,346.5258
06-09-2019,346.1589
05-09-2019,353.8103
04-09-2019,353.9529
03-09-2019,353.201
30-08-2019,350.1777
29-08-2019,352.1198
28-08-2019,351.8853
27-08-2019,350.4079
26-08-2019,344.5807
23-08-2019,342.6732
22-08-2019,343.2274
21-08-2019,342.7785
20-08-2019,343.8036
19-08-2019,341.843
16-08-2019,343.5783
14-08-2019,340.2575
13-08-2019,346.283
09-08-2019,338.4854
08-08-2019,336.6123
07-08-2019,335.113
06-08-2019,328.9958
05-08-2019,326.6248
02-08-2019,318.5006
01-08-2019,311.1706
31-07-2019,315.0656
30-07-2019,313.7573
29-07-2019,312.5306
26-07-2019,313.0445
25-07-2019,314.3418
24-07-2019,314.2566
23-07-2019,312.6194
22-07-2019,314.0778
19-07-2019,315.753
18-07-2019,312.8792
17-07-2019,308.7029
16-07-2019,310.7237
15-07-2019,310.664
12-07-2019,308.627
11-07-2019,311.1356
10-07-2019,306.442
